First Allele, Second Allele
Z022E0044,LH198
Z022E0042,LH198
Z022E0005,LH198
Z022E0142,LH198
Z022E0003,LH198
Z022E0114,LH198
Z013E0047,LH195
Z013E0012,LH195
Z013E0062,LH195
Z013E0032,LH195
Z013E0027,LH195
Z013E0026,LH195
Z013E0037,LH195
Z013E0044,LH195
Z013E0046,LH195
Z013E0021,LH195
Z013E0082,LH195
Z013E0074,LH195
Z013E0022,LH195
M0001,LH195
M0057,LH195
M0007,LH195
M0066,LH195
M0326,LH195
M0039,LH195
M0031,LH195
M0010,LH195
M0127,LH195
M0383,LH195
M0154,LH195
M0382,LH195
M0276,LH195
M0058,LH195
M0325,LH195
M0099,LH195
M0164,LH195
M0321,LH195
M0369,PB80
M0264,PB80
M0048,PB80
M0275,PB80
M0029,PB80
M0015,PB80
M0315,PB80
M0039,PB80
M0010,PB80
M0164,PB80
M0030,PB80
M0008,PB80
M0368,PB80
M0052,PB80
M0075,PB80
M0266,PB80
M0325,PB80
M0326,PB80
M0276,PB80
M0382,PB80
M0031,PB80
M0262,PB80
M0143,PB80
M0310,PB80
M0056,PB80
M0028,PB80
M0323,PB80
M0007,PB80
M0016,PB80
M0328,PB80
Z022E0094,PB80
Z022E0023,PB80
Z022E0006,PB80
Z022E0051,PB80
Z022E0016,PB80
Z022E0121,PB80
Z022E0110,PB80
Z022E0060,PB80
Z022E0083,PB80
Z022E0059,PB80
Z022E0147,PB80
Z022E0029,PB80
Z022E0123,PB80
Z022E0009,PB80
Z022E0155,PB80
Z022E0050,PB80
Z022E0108,PB80
Z022E0036,PB80
Z022E0072,PB80
PHW65_MOG_0311,PB80
MOG_NC230-009-1-1-1-1-B,PB80
MOG_NC230-010-1-1-1-1-B,PB80
MOG_NC230-011-1-1-1-1-B,PB80
MOG_MO45-128-1-1-1-1-B,PB80
MOG_LH123HT-059-1-1-1-1-B,PB80
MOG_MO45-045-1-1-1-1-B,PB80
MOG_NC230-008-1-1-1-1-B,PB80
MOG_PHG83-069-1-1-1-1-B,PB80
PHN11_OH43_0045,PB80
MOG_MO45-030-1-1-1-1-B,PB80
PHW65_MOG_0029,PB80
PHN11_PHG47_0390,PB80
MOG_NC230-043-1-1-1-1-B,PB80
MOG_OH43_0300,PB80
B73_NC230-128-1-1-1-1,PB80
MOG_PHG83-129-1-1-1-1-B,PB80
MOG_MO45-085-1-1-1-1-B,PB80
PHN11_OH43_0142,PB80
PHW65_MOG_0176,PB80
MOG_MO45-074-1-1-1-1-B,PB80
PHN11_PHW65_0237,PB80
MOG_OH43_0402,PB80
MOG_LH145_0173,PB80
MOG_LH123HT-019-1-1-1-1-B,PB80
PHN11_PHW65_0328,PB80
MOG_MO45-139-1-1-1-1-B,PB80
MOG_LH123HT-199-1-1-1-1-B,PB80
PHN11_OH43_0075,PB80
MOG_MO45-071-1-1-1-1-B,PB80
B73_NC230-041-1-1-1-1,PB80
MOG_MO45-078-1-1-1-1-B,PB80
MOG_OH43_0179,PB80
MOG_NC230-007-1-1-1-1-B,PB80
MOG_MO45-054-1-1-1-1-B,PB80
MOG_PHG83-090-1-1-1-1-B,PB80
MOG_NC230-028-1-1-1-1-B,PB80
MOG_LH145_0131,PB80
MOG_PHG83-224-1-1-1-1-B,PB80
PHN11_PHW65_0359,PB80
MOG_LH145_0163,PB80
PHN11_PHW65_0275,PB80
MOG_LH145_0175,PB80
B73_NC230-127-1-1-1-1,PB80
MO44_LH145_0081,PB80
MOG_MO45-055-1-1-1-1-B,PB80
PHN11_OH43_0215,PB80
MOG_PHG83-197-1-1-1-1-B,PB80
MO44_LH145_0107,PB80
(TX739);LAMA2002-10-1-B-B-B-B3-B7ORANGE-B6,PB80
LH59,PB80
LH57,PB80
PHV63,PB80
PHV63,PB80
LH162,PB80
???TX205,PB80
PHB47,PB80
W10005_0111,PB80
TX303,PB80
LH212HT,PB80
LH38,PB80
LH51,PB80
W10004_0097,PB80
MOG_MO45-071-1-1-1-1-B,LH195
PHN11_PHG47_0388,LH195
MOG_LH145_0162,LH195
PHN11_OH43_0215,LH195
B73_NC230-032-1-1-1-1,LH195
MOG_PHG83-069-1-1-1-1-B,LH195
PHW65_MOG_0029,LH195
PHN11_LH145_0028,LH195
MOG_LH123HT-031-1-1-1-1-B,LH195
MOG_MO45-030-1-1-1-1-B,LH195
PHN11_PHW65_0101,LH195
PHN11_PHW65_0015,LH195
PHN11_PHW65_0065,LH195
B73_NC230-128-1-1-1-1,LH195
MO44_LH145_0127,LH195
B73_NC230-126-1-1-1-1,LH195
B73_NC230-041-1-1-1-1,LH195
PHN11_OH43_0142,LH195
MOG_PHG83-119-1-1-1-1-B,LH195
MOG_PHG83-090-1-1-1-1-B,LH195
MOG_LH123HT-200-1-1-1-1-B,LH195
PHN11_PHG47_0251,LH195
MOG_LH145_0163,LH195
PHN11_PHW65_0275,LH195
MOG_MO45-055-1-1-1-1-B,LH195
PHN11_PHW65_0312,LH195
MO44_LH145_0143,LH195
PHW65_MOG_0012,LH195
PHW65_MOG_0176,LH195
MOG_PHG83-129-1-1-1-1-B,LH195
B73_NC230-129-1-1-1-1,LH195
MOG_MO45-074-1-1-1-1-B,LH195
PHN11_PHW65_0359,LH195
PHN11_PHW65_0237,LH195
PHN11_PHW65_0328,LH195
PHN11_PHW65_0294,LH195
PHN11_PHG47_0172,LH195
PHN11_PHW65_0323,LH195
MOG_MO45-054-1-1-1-1-B,LH195
MOG_OH43_0300,LH195
MO44_LH145_0138,LH195
MOG_LH145_0131,LH195
MOG_MO45-085-1-1-1-1-B,LH195
PHN11_PHG47_0287,LH195
PHN11_PHG47_0048,LH195
B73,PHN82
B73,PHM49
B37,C103
WF9,H95
PHW52,PHM49
LH195,REDEAR-B
B73,MO17
LH74,PHN82
PHW52,PHN82
B73,TX205
LH82,CGR01
LH74,TX205
LH132,LH51
B37,H95
LH74,PHG35
LH74,PHM49
PHG39,PHG35
LH82,CG60
LH82,LH198
PHG39,PHM49
PHW52,PHG35
LH162,CG60
LH198,CGR01
PHG39,PHN82
B73,PHG35
Z013E0021,PB80
Z013E0027,PB80
Z013E0062,PB80
Z013E0046,PB80
Z013E0042,PB80
Z013E0032,PB80
Z013E0006,PB80
Z013E0087,PB80
Z013E0044,PB80
Z013E0012,PB80
Z013E0037,PB80
Z013E0026,PB80
Z013E0022,PB80
Z013E0009,PB80
Z013E0074,PB80
Z013E0069,PB80
Z013E0066,PB80
Z013E0078,PB80
Z013E0058,PB80
Z013E0007,PB80
Z013E0003,PB80
Z013E0111,PB80
Z022E0060,LH195
Z022E0048,LH195
Z022E0147,LH195
Z022E0077,LH195
Z022E0110,LH195
Z022E0108,LH195
Z022E0017,LH195
Z022E0097,LH195
Z022E0121,LH195
Z022E0155,LH195
LH216,LH195
PHB47,LH195
TX303,LH195
W10005_0346,LH195
W10004_0097,LH195
M0031,LH195
M0325,LH195
M0007,LH195
M0039,LH195
M0058,LH195
M0001,LH195
M0164,LH195
M0321,LH195
M0276,LH195
M0099,LH195
M0382,LH195
M0383,LH195
M0326,LH195
M0127,LH195
M0057,LH195
M0154,LH195
M0010,LH195
M0066,LH195
LH57,PB80
(TX739);LAMA2002-10-1-B-B-B-B3-B7ORANGE-B6,PB80
W10005_0111,PB80
PHV63,PB80
LH59,PB80
LH51,PB80
???TX205,PB80
PHB47,PB80
W10004_0097,PB80
LH212HT,PB80
TX303,PB80
PHV63,PB80
LH38,PB80
LH162,PB80
LH162,CG60
PHG39,PHM49
LH195,REDEAR-B
B73,PHM49
LH82,CGR01
B73,TX205
LH74,PHG35
LH132,LH51
PHW52,PHG35
PHG39,PHG35
PHW52,PHN82
B73,MO17
LH74,TX205
B37,C103
PHW52,PHM49
PHG39,PHN82
B37,H95
WF9,H95
LH82,CG60
LH198,CGR01
LH82,LH198
B73,PHN82
LH74,PHM49
LH74,PHN82
B73,PHG35
M0310,PB80
M0029,PB80
M0325,PB80
M0368,PB80
M0008,PB80
M0143,PB80
M0007,PB80
M0326,PB80
M0048,PB80
M0323,PB80
M0052,PB80
M0030,PB80
M0039,PB80
M0056,PB80
M0262,PB80
M0264,PB80
M0315,PB80
M0075,PB80
M0031,PB80
M0028,PB80
M0016,PB80
M0164,PB80
M0328,PB80
M0276,PB80
M0275,PB80
M0266,PB80
M0382,PB80
M0015,PB80
M0010,PB80
M0369,PB80
B73_NC230-128-1-1-1-1,PB80
PHN11_OH43_0075,PB80
MOG_MO45-054-1-1-1-1-B,PB80
MOG_LH145_0163,PB80
B73_NC230-127-1-1-1-1,PB80
MOG_OH43_0402,PB80
MOG_NC230-011-1-1-1-1-B,PB80
MO44_LH145_0107,PB80
PHW65_MOG_0029,PB80
MOG_MO45-074-1-1-1-1-B,PB80
MOG_MO45-071-1-1-1-1-B,PB80
PHW65_MOG_0176,PB80
MOG_PHG83-197-1-1-1-1-B,PB80
MOG_MO45-045-1-1-1-1-B,PB80
MOG_MO45-078-1-1-1-1-B,PB80
MOG_LH145_0175,PB80
MOG_NC230-009-1-1-1-1-B,PB80
MOG_OH43_0179,PB80
MOG_PHG83-090-1-1-1-1-B,PB80
MOG_NC230-043-1-1-1-1-B,PB80
PHN11_PHW65_0359,PB80
MOG_MO45-139-1-1-1-1-B,PB80
PHN11_PHG47_0390,PB80
MOG_NC230-007-1-1-1-1-B,PB80
B73_NC230-041-1-1-1-1,PB80
PHN11_OH43_0045,PB80
PHN11_OH43_0215,PB80
MOG_NC230-008-1-1-1-1-B,PB80
MOG_MO45-030-1-1-1-1-B,PB80
PHN11_PHW65_0328,PB80
MOG_LH145_0131,PB80
MOG_MO45-085-1-1-1-1-B,PB80
MOG_PHG83-069-1-1-1-1-B,PB80
PHW65_MOG_0311,PB80
MOG_NC230-010-1-1-1-1-B,PB80
MOG_NC230-028-1-1-1-1-B,PB80
MOG_PHG83-129-1-1-1-1-B,PB80
PHN11_PHW65_0275,PB80
MOG_MO45-128-1-1-1-1-B,PB80
PHN11_PHW65_0237,PB80
MOG_LH123HT-199-1-1-1-1-B,PB80
MO44_LH145_0081,PB80
MOG_LH123HT-059-1-1-1-1-B,PB80
PHN11_OH43_0142,PB80
MOG_MO45-055-1-1-1-1-B,PB80
MOG_OH43_0300,PB80
MOG_LH123HT-019-1-1-1-1-B,PB80
MOG_LH145_0173,PB80
MOG_PHG83-224-1-1-1-1-B,PB80
Z022E0121,PB80
Z022E0029,PB80
Z022E0009,PB80
Z022E0006,PB80
Z022E0059,PB80
Z022E0083,PB80
Z022E0060,PB80
Z022E0072,PB80
Z022E0110,PB80
Z022E0108,PB80
Z022E0016,PB80
Z022E0036,PB80
Z022E0147,PB80
Z022E0155,PB80
Z022E0094,PB80
Z022E0023,PB80
Z022E0051,PB80
Z022E0123,PB80
Z022E0050,PB80
Z013E0021,LH195
Z013E0082,LH195
Z013E0026,LH195
Z013E0027,LH195
Z013E0046,LH195
Z013E0012,LH195
Z013E0074,LH195
Z013E0047,LH195
Z013E0062,LH195
Z013E0037,LH195
Z013E0044,LH195
Z013E0022,LH195
Z013E0032,LH195
Z013E0042,PB80
Z013E0078,PB80
Z013E0069,PB80
Z013E0026,PB80
Z013E0006,PB80
Z013E0087,PB80
Z013E0022,PB80
Z013E0062,PB80
Z013E0032,PB80
Z013E0074,PB80
Z013E0111,PB80
Z013E0058,PB80
Z013E0027,PB80
Z013E0009,PB80
Z013E0003,PB80
Z013E0044,PB80
Z013E0046,PB80
Z013E0021,PB80
Z013E0066,PB80
Z013E0007,PB80
Z013E0037,PB80
Z013E0012,PB80
MOG_LH145_0131,LH195
PHN11_PHW65_0101,LH195
MOG_LH145_0163,LH195
B73_NC230-129-1-1-1-1,LH195
PHN11_PHG47_0388,LH195
PHN11_PHW65_0323,LH195
PHN11_PHW65_0359,LH195
PHN11_PHW65_0015,LH195
MOG_OH43_0300,LH195
B73_NC230-032-1-1-1-1,LH195
PHN11_OH43_0142,LH195
MOG_PHG83-069-1-1-1-1-B,LH195
PHW65_MOG_0176,LH195
B73_NC230-126-1-1-1-1,LH195
PHN11_PHW65_0275,LH195
PHN11_PHW65_0312,LH195
MOG_MO45-030-1-1-1-1-B,LH195
MOG_LH123HT-031-1-1-1-1-B,LH195
PHN11_PHG47_0172,LH195
MO44_LH145_0138,LH195
PHN11_LH145_0028,LH195
B73_NC230-041-1-1-1-1,LH195
PHN11_PHW65_0065,LH195
PHN11_PHW65_0294,LH195
MOG_MO45-055-1-1-1-1-B,LH195
PHN11_PHG47_0287,LH195
PHN11_PHG47_0251,LH195
PHW65_MOG_0012,LH195
MOG_MO45-071-1-1-1-1-B,LH195
MOG_LH123HT-200-1-1-1-1-B,LH195
MO44_LH145_0143,LH195
PHN11_PHW65_0328,LH195
PHN11_PHG47_0048,LH195
MOG_LH145_0162,LH195
MOG_PHG83-090-1-1-1-1-B,LH195
PHN11_PHW65_0237,LH195
MOG_MO45-054-1-1-1-1-B,LH195
B73_NC230-128-1-1-1-1,LH195
PHW65_MOG_0029,LH195
PHN11_OH43_0215,LH195
MOG_MO45-074-1-1-1-1-B,LH195
MOG_MO45-085-1-1-1-1-B,LH195
MOG_PHG83-119-1-1-1-1-B,LH195
MO44_LH145_0127,LH195
MOG_PHG83-129-1-1-1-1-B,LH195
Z022E0155,LH195
Z022E0108,LH195
Z022E0147,LH195
Z022E0060,LH195
Z022E0097,LH195
Z022E0110,LH195
Z022E0077,LH195
Z022E0121,LH195
Z022E0048,LH195
Z022E0017,LH195
TX303,LH195
PHB47,LH195
W10005_0346,LH195
W10004_0097,LH195
LH216,LH195
MO44_LH145_0107,PB80
MOG_PHG83-090-1-1-1-1-B,PB80
MOG_PHG83-129-1-1-1-1-B,PB80
MOG_LH145_0175,PB80
MOG_NC230-007-1-1-1-1-B,PB80
B73_NC230-127-1-1-1-1,PB80
MOG_MO45-074-1-1-1-1-B,PB80
MOG_OH43_0402,PB80
PHN11_PHW65_0328,PB80
MOG_LH123HT-059-1-1-1-1-B,PB80
MOG_LH123HT-199-1-1-1-1-B,PB80
PHW65_MOG_0029,PB80
MOG_NC230-043-1-1-1-1-B,PB80
PHN11_OH43_0045,PB80
PHW65_MOG_0176,PB80
PHN11_OH43_0075,PB80
MOG_MO45-139-1-1-1-1-B,PB80
MOG_NC230-008-1-1-1-1-B,PB80
MOG_LH145_0173,PB80
MOG_OH43_0300,PB80
MOG_MO45-071-1-1-1-1-B,PB80
MOG_OH43_0179,PB80
MOG_MO45-030-1-1-1-1-B,PB80
MOG_NC230-010-1-1-1-1-B,PB80
MOG_MO45-055-1-1-1-1-B,PB80
MOG_MO45-078-1-1-1-1-B,PB80
MOG_MO45-128-1-1-1-1-B,PB80
MOG_MO45-085-1-1-1-1-B,PB80
MOG_PHG83-197-1-1-1-1-B,PB80
PHN11_PHW65_0275,PB80
MOG_LH145_0163,PB80
PHN11_PHW65_0237,PB80
MOG_NC230-028-1-1-1-1-B,PB80
B73_NC230-128-1-1-1-1,PB80
PHN11_PHG47_0390,PB80
MO44_LH145_0081,PB80
MOG_LH123HT-019-1-1-1-1-B,PB80
B73_NC230-041-1-1-1-1,PB80
MOG_PHG83-069-1-1-1-1-B,PB80
PHN11_OH43_0142,PB80
PHN11_PHW65_0359,PB80
MOG_NC230-009-1-1-1-1-B,PB80
MOG_LH145_0131,PB80
MOG_PHG83-224-1-1-1-1-B,PB80
PHN11_OH43_0215,PB80
PHW65_MOG_0311,PB80
MOG_MO45-045-1-1-1-1-B,PB80
MOG_NC230-011-1-1-1-1-B,PB80
MOG_MO45-054-1-1-1-1-B,PB80
Z013E0037,PB80
Z013E0087,PB80
Z013E0012,PB80
Z013E0007,PB80
Z013E0069,PB80
Z013E0062,PB80
Z013E0026,PB80
Z013E0074,PB80
Z013E0078,PB80
Z013E0046,PB80
Z013E0044,PB80
Z013E0066,PB80
Z013E0009,PB80
Z013E0032,PB80
Z013E0058,PB80
Z013E0006,PB80
Z013E0003,PB80
Z013E0021,PB80
Z013E0042,PB80
Z013E0027,PB80
Z013E0022,PB80
Z013E0111,PB80
Z013E0047,LH195
Z013E0046,LH195
Z013E0082,LH195
Z013E0037,LH195
Z013E0027,LH195
Z013E0062,LH195
Z013E0044,LH195
Z013E0026,LH195
Z013E0074,LH195
Z013E0012,LH195
Z013E0022,LH195
Z013E0021,LH195
Z013E0032,LH195
M0326,LH195
M0099,LH195
M0154,LH195
M0127,LH195
M0010,LH195
M0321,LH195
M0057,LH195
M0001,LH195
M0382,LH195
M0383,LH195
M0058,LH195
M0031,LH195
M0039,LH195
M0164,LH195
M0066,LH195
M0325,LH195
M0007,LH195
M0276,LH195
TX303,LH195
PHB47,LH195
W10005_0346,LH195
LH216,LH195
W10004_0097,LH195
Z022E0017,LH195
Z022E0097,LH195
Z022E0110,LH195
Z022E0048,LH195
Z022E0060,LH195
Z022E0147,LH195
Z022E0108,LH195
Z022E0077,LH195
Z022E0155,LH195
Z022E0121,LH195
M0016,PB80
M0143,PB80
M0010,PB80
M0275,PB80
M0031,PB80
M0382,PB80
M0262,PB80
M0164,PB80
M0029,PB80
M0264,PB80
M0326,PB80
M0315,PB80
M0310,PB80
M0266,PB80
M0056,PB80
M0323,PB80
M0368,PB80
M0028,PB80
M0328,PB80
M0007,PB80
M0369,PB80
M0276,PB80
M0008,PB80
M0075,PB80
M0039,PB80
M0015,PB80
M0048,PB80
M0052,PB80
M0030,PB80
M0325,PB80
LH59,PB80
LH162,PB80
PHV63,PB80
(TX739);LAMA2002-10-1-B-B-B-B3-B7ORANGE-B6,PB80
LH51,PB80
PHV63,PB80
W10005_0111,PB80
W10004_0097,PB80
LH212HT,PB80
???TX205,PB80
LH38,PB80
PHB47,PB80
LH57,PB80
TX303,PB80
LH74,PHN82
PHG39,PHM49
LH162,CG60
B73,PHG35
B73,TX205
LH82,LH198
LH195,REDEAR-B
PHW52,PHG35
LH82,CG60
LH74,TX205
PHG39,PHN82
B37,H95
B73,PHM49
LH82,CGR01
B37,C103
PHW52,PHM49
LH74,PHM49
LH198,CGR01
PHG39,PHG35
PHW52,PHN82
B73,PHN82
B73,MO17
LH132,LH51
WF9,H95
LH74,PHG35
MOG_LH145_0162,LH195
MOG_PHG83-090-1-1-1-1-B,LH195
PHN11_LH145_0028,LH195
MO44_LH145_0138,LH195
MOG_PHG83-069-1-1-1-1-B,LH195
MOG_MO45-055-1-1-1-1-B,LH195
B73_NC230-032-1-1-1-1,LH195
MO44_LH145_0127,LH195
PHW65_MOG_0012,LH195
MOG_LH145_0163,LH195
MOG_MO45-074-1-1-1-1-B,LH195
PHN11_PHW65_0312,LH195
MOG_MO45-030-1-1-1-1-B,LH195
PHN11_PHW65_0294,LH195
PHN11_PHW65_0328,LH195
PHW65_MOG_0176,LH195
PHN11_PHW65_0359,LH195
PHN11_PHW65_0275,LH195
PHN11_PHG47_0172,LH195
MOG_OH43_0300,LH195
PHN11_PHG47_0287,LH195
PHN11_PHG47_0388,LH195
PHN11_PHG47_0048,LH195
MOG_MO45-054-1-1-1-1-B,LH195
MOG_LH145_0131,LH195
MOG_PHG83-129-1-1-1-1-B,LH195
MO44_LH145_0143,LH195
PHN11_PHW65_0065,LH195
PHN11_PHG47_0251,LH195
MOG_MO45-071-1-1-1-1-B,LH195
PHN11_PHW65_0237,LH195
B73_NC230-128-1-1-1-1,LH195
PHN11_PHW65_0015,LH195
PHN11_PHW65_0323,LH195
B73_NC230-129-1-1-1-1,LH195
PHN11_PHW65_0101,LH195
PHN11_OH43_0215,LH195
MOG_LH123HT-200-1-1-1-1-B,LH195
B73_NC230-041-1-1-1-1,LH195
MOG_MO45-085-1-1-1-1-B,LH195
MOG_PHG83-119-1-1-1-1-B,LH195
PHN11_OH43_0142,LH195
PHW65_MOG_0029,LH195
B73_NC230-126-1-1-1-1,LH195
MOG_LH123HT-031-1-1-1-1-B,LH195
Z022E0009,PB80
Z022E0155,PB80
Z022E0147,PB80
Z022E0029,PB80
Z022E0072,PB80
Z022E0059,PB80
Z022E0123,PB80
Z022E0006,PB80
Z022E0016,PB80
Z022E0060,PB80
Z022E0110,PB80
Z022E0083,PB80
Z022E0121,PB80
Z022E0094,PB80
Z022E0108,PB80
Z022E0023,PB80
Z022E0050,PB80
Z022E0036,PB80
Z022E0051,PB80
LH82,LH198
B73,PHN82
PHG39,PHG35
LH195,REDEAR-B
PHG39,PHM49
LH82,CGR01
B37,C103
PHG39,PHN82
B73,MO17
PHW52,PHM49
LH162,CG60
PHW52,PHG35
LH198,CGR01
B37,H95
WF9,H95
LH74,PHG35
LH74,PHM49
B73,PHG35
LH74,PHN82
B73,TX205
B73,PHM49
LH74,TX205
LH82,CG60
LH132,LH51
PHW52,PHN82
M0066,LH195
M0321,LH195
M0164,LH195
M0326,LH195
M0099,LH195
M0276,LH195
M0383,LH195
M0010,LH195
M0382,LH195
M0058,LH195
M0031,LH195
M0057,LH195
M0127,LH195
M0001,LH195
M0325,LH195
M0039,LH195
M0154,LH195
M0007,LH195
MOG_MO45-074-1-1-1-1-B,LH195
PHN11_PHW65_0237,LH195
PHN11_PHW65_0328,LH195
PHW65_MOG_0029,LH195
MOG_LH123HT-031-1-1-1-1-B,LH195
PHN11_OH43_0215,LH195
MOG_MO45-071-1-1-1-1-B,LH195
MOG_MO45-030-1-1-1-1-B,LH195
PHN11_PHW65_0359,LH195
MO44_LH145_0143,LH195
B73_NC230-129-1-1-1-1,LH195
B73_NC230-032-1-1-1-1,LH195
PHN11_PHW65_0015,LH195
MOG_LH145_0131,LH195
PHN11_PHW65_0275,LH195
PHN11_PHW65_0323,LH195
PHN11_PHG47_0172,LH195
MOG_PHG83-119-1-1-1-1-B,LH195
MO44_LH145_0138,LH195
MOG_PHG83-090-1-1-1-1-B,LH195
B73_NC230-126-1-1-1-1,LH195
PHN11_PHG47_0251,LH195
MOG_OH43_0300,LH195
MOG_LH123HT-200-1-1-1-1-B,LH195
MO44_LH145_0127,LH195
PHN11_PHW65_0312,LH195
MOG_MO45-055-1-1-1-1-B,LH195
PHN11_PHW65_0065,LH195
PHN11_OH43_0142,LH195
MOG_MO45-054-1-1-1-1-B,LH195
MOG_PHG83-069-1-1-1-1-B,LH195
PHW65_MOG_0176,LH195
PHN11_PHW65_0101,LH195
MOG_LH145_0163,LH195
PHN11_PHG47_0287,LH195
PHN11_LH145_0028,LH195
PHN11_PHG47_0388,LH195
B73_NC230-041-1-1-1-1,LH195
B73_NC230-128-1-1-1-1,LH195
PHN11_PHW65_0294,LH195
MOG_MO45-085-1-1-1-1-B,LH195
MOG_PHG83-129-1-1-1-1-B,LH195
MOG_LH145_0162,LH195
PHW65_MOG_0012,LH195
PHN11_PHG47_0048,LH195
Z013E0012,PB80
Z013E0027,PB80
Z013E0087,PB80
Z013E0044,PB80
Z013E0042,PB80
Z013E0026,PB80
Z013E0058,PB80
Z013E0032,PB80
Z013E0066,PB80
Z013E0078,PB80
Z013E0022,PB80
Z013E0062,PB80
Z013E0074,PB80
Z013E0009,PB80
Z013E0006,PB80
Z013E0037,PB80
Z013E0007,PB80
Z013E0046,PB80
Z013E0003,PB80
Z013E0021,PB80
Z013E0111,PB80
Z013E0069,PB80
Z022E0110,LH195
Z022E0048,LH195
Z022E0121,LH195
Z022E0060,LH195
Z022E0108,LH195
Z022E0147,LH195
Z022E0017,LH195
Z022E0097,LH195
Z022E0077,LH195
Z022E0155,LH195
W10004_0097,LH195
LH216,LH195
TX303,LH195
W10005_0346,LH195
PHB47,LH195
Z013E0037,LH195
Z013E0082,LH195
Z013E0074,LH195
Z013E0012,LH195
Z013E0044,LH195
Z013E0062,LH195
Z013E0022,LH195
Z013E0046,LH195
Z013E0032,LH195
Z013E0021,LH195
Z013E0027,LH195
Z013E0026,LH195
Z013E0047,LH195
PHN11_OH43_0142,PB80
MOG_NC230-028-1-1-1-1-B,PB80
MOG_PHG83-197-1-1-1-1-B,PB80
PHN11_OH43_0045,PB80
MOG_OH43_0402,PB80
PHW65_MOG_0176,PB80
MOG_PHG83-090-1-1-1-1-B,PB80
PHN11_PHW65_0359,PB80
PHN11_PHG47_0390,PB80
MOG_LH123HT-019-1-1-1-1-B,PB80
MOG_NC230-007-1-1-1-1-B,PB80
MOG_MO45-045-1-1-1-1-B,PB80
MOG_LH145_0131,PB80
MOG_MO45-054-1-1-1-1-B,PB80
MOG_PHG83-129-1-1-1-1-B,PB80
MOG_NC230-043-1-1-1-1-B,PB80
MO44_LH145_0081,PB80
B73_NC230-128-1-1-1-1,PB80
MOG_LH123HT-199-1-1-1-1-B,PB80
MOG_PHG83-069-1-1-1-1-B,PB80
MO44_LH145_0107,PB80
PHN11_PHW65_0237,PB80
PHN11_PHW65_0275,PB80
PHN11_OH43_0075,PB80
MOG_MO45-030-1-1-1-1-B,PB80
MOG_MO45-078-1-1-1-1-B,PB80
PHN11_OH43_0215,PB80
MOG_MO45-055-1-1-1-1-B,PB80
PHW65_MOG_0029,PB80
MOG_LH145_0175,PB80
MOG_LH123HT-059-1-1-1-1-B,PB80
B73_NC230-041-1-1-1-1,PB80
MOG_OH43_0179,PB80
MOG_MO45-128-1-1-1-1-B,PB80
MOG_NC230-008-1-1-1-1-B,PB80
MOG_MO45-071-1-1-1-1-B,PB80
PHN11_PHW65_0328,PB80
MOG_LH145_0173,PB80
MOG_OH43_0300,PB80
B73_NC230-127-1-1-1-1,PB80
MOG_NC230-009-1-1-1-1-B,PB80
MOG_NC230-010-1-1-1-1-B,PB80
MOG_MO45-139-1-1-1-1-B,PB80
MOG_PHG83-224-1-1-1-1-B,PB80
MOG_NC230-011-1-1-1-1-B,PB80
MOG_MO45-085-1-1-1-1-B,PB80
MOG_LH145_0163,PB80
PHW65_MOG_0311,PB80
MOG_MO45-074-1-1-1-1-B,PB80
Z022E0006,PB80
Z022E0016,PB80
Z022E0060,PB80
Z022E0072,PB80
Z022E0121,PB80
Z022E0094,PB80
Z022E0059,PB80
Z022E0023,PB80
Z022E0009,PB80
Z022E0155,PB80
Z022E0029,PB80
Z022E0050,PB80
Z022E0051,PB80
Z022E0108,PB80
Z022E0123,PB80
Z022E0110,PB80
Z022E0083,PB80
Z022E0147,PB80
Z022E0036,PB80
M0264,PB80
M0015,PB80
M0030,PB80
M0310,PB80
M0052,PB80
M0315,PB80
M0016,PB80
M0369,PB80
M0368,PB80
M0143,PB80
M0039,PB80
M0266,PB80
M0010,PB80
M0326,PB80
M0164,PB80
M0075,PB80
M0328,PB80
M0323,PB80
M0275,PB80
M0031,PB80
M0056,PB80
M0029,PB80
M0262,PB80
M0276,PB80
M0008,PB80
M0382,PB80
M0325,PB80
M0007,PB80
M0028,PB80
M0048,PB80
PHV63,PB80
LH51,PB80
W10005_0111,PB80
TX303,PB80
W10004_0097,PB80
PHV63,PB80
LH162,PB80
(TX739);LAMA2002-10-1-B-B-B-B3-B7ORANGE-B6,PB80
LH59,PB80
LH57,PB80
???TX205,PB80
LH38,PB80
LH212HT,PB80
PHB47,PB80
M0061,LH198
M0039,LH198
M0030,LH198
M0062,LH198
M0151,LH198
M0003,LH198
M0015,LH198
M0087,LH198
M0028,LH198
M0309,LH198
M0101,LH198
M0262,LH198
LH198,CGR01
LH82,CG60
B37,OH43
WF9,H95
LH82,LH198
LH74,TX205
WF9,MO17
B73,TX205
LH74,PHM49
LH195,REDEAR-B
CG118,CGR03
LH74,PHG35
WF9,C103
LH162,CG60
B73,MO17
F42,OH43
B73,PHG35
PHG39,PHG35
PHW52,TX205
B73,PHM49
LH132,LH51
WF9,OH43
F42,MO17
B37,MO17
PHW52,PHG35
PHG39,PHN82
PHW52,PHM49
B73,PHN82
B37,H95
PHW52,PHN82
F42,H95
LH82,CGR01
PHG39,TX205
LH74,PHN82
PHG39,PHM49
B14A,OH43
B14A,H95
B37,C103
Z022E0044,LH198
Z022E0072,LH198
Z022E0160,LH198
